asset_classes,products,maturity_buckets,business_units,pd_bucket,legal_entities,transaction_id,exposure,RWA,reporting_date
Corporates,Debt securities,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_549775,920.8867147244598,542.0161579375066,2020-09-30
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_923640,67.46269301931582,6.171864074302501,2020-09-30
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_808858,1406.8727212264762,304.16856864514267,2020-09-30
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_714417,589.0266543092521,163.8625362087694,2020-09-30
Multilateral development banks,Other investments,> 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_127849,97.76701957424231,38.56757223503625,2020-09-30
Banks,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_455610,580.0248372006504,247.98239357380032,2020-09-30
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_104088,629.6056690034087,83.4960136521913,2020-09-30
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_520257,390.74023727343797,203.33315266591475,2020-09-30
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_739883,106.43581876490624,57.105688218455676,2020-09-30
Sovereigns and their central banks,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_329239,165.57136913197806,174.37588836890106,2020-09-30
Non-central government public sector entities,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_940871,1073.273510413233,274.56218189994746,2020-09-30
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_942396,767.6939747207017,107.56969164524895,2020-09-30
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_681776,32.1547274387591,9.09196760920372,2020-09-30
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_838981,148.1164825891332,61.09318553510575,2020-09-30
Corporates,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_500781,765.3460693870633,235.21374706791983,2020-09-30
Regulatory retail portfolios,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_263142,578.1223484954036,303.26360583768013,2020-09-30
Sovereigns and their central banks,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_485465,867.989039559729,272.95214601036247,2020-09-30
Non-central government public sector entities,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_123760,543.7315034418593,638.7313824111876,2020-09-30
Multilateral development banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_461811,455.33994439229366,407.2276266074438,2020-09-30
Banks,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_539913,297.49305043694073,142.27101968071722,2020-09-30
Securities firms,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_131890,193.65804425679408,104.66799297653199,2020-09-30
Corporates,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_105745,316.5850212190935,263.9369730552653,2020-09-30
Regulatory retail portfolios,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_118990,23.60602894988768,3.735748489475318,2020-09-30
Sovereigns and their central banks,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_633216,117.49713349264884,112.30652313039884,2020-09-30
Non-central government public sector entities,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_146350,257.14701367028596,78.99941733457536,2020-09-30
Multilateral development banks,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_531114,807.4882360923596,295.9214171354826,2020-09-30
Banks,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_139098,204.84183765853956,34.922994406702415,2020-09-30
Securities firms,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_272210,445.77265076927665,71.02295085285662,2020-09-30
Corporates,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_178287,984.9675623578885,266.2163184301328,2020-09-30
Regulatory retail portfolios,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_334587,1225.47514944962,394.727409965526,2020-09-30
Sovereigns and their central banks,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_401761,441.1846314860965,231.08712404925683,2020-09-30
Non-central government public sector entities,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_832503,104.75168442327255,150.410476943712,2020-09-30
Multilateral development banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_165002,544.8670454851022,175.44878726294672,2020-09-30
Banks,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_132684,647.717984983518,337.71789408696833,2020-09-30
Securities firms,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_611839,468.3051092073017,213.2469382203454,2020-09-30
Corporates,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_367067,297.0603645323707,266.81600534164335,2020-09-30
Regulatory retail portfolios,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_494869,1040.6443957716328,481.3521381384307,2020-09-30
Sovereigns and their central banks,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_607576,777.9688034736592,434.73643818066256,2020-09-30
Non-central government public sector entities,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_742252,119.96493263644233,20.055682493471746,2020-09-30
Multilateral development banks,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_982779,742.3227723020203,147.2990751261185,2020-09-30
Banks,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_962577,355.18851466526087,146.15074058848913,2020-09-30
Securities firms,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_003178,67.58159156018596,56.973837370094095,2020-09-30
Corporates,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_710440,476.2590378705718,288.29591773730596,2020-09-30
Regulatory retail portfolios,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_707611,515.5543533579033,300.342291591583,2020-09-30
Sovereigns and their central banks,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_698572,1025.3051095427734,273.3943842485405,2020-09-30
Non-central government public sector entities,Debt securities,>1y,Personal Banking,0.00 to < 0.15,iBank filial,transaction_224252,834.9332105277273,474.83657238384325,2020-09-30
Multilateral development banks,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_224791,338.4500562592587,127.15508960163453,2020-09-30
Banks,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_608038,2115.134267257951,155.9026210992751,2020-09-30
Securities firms,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_907419,630.4372854798503,314.9649355488348,2020-09-30
Corporates,Other investments,> 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_455343,35.39188723660967,3.501983720986163,2020-09-30
Regulatory retail portfolios,Loans,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_432443,468.34539791906116,113.76355820480582,2020-09-30
Sovereigns and their central banks,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_004804,991.5122599493793,360.2400550299607,2020-09-30
Non-central government public sector entities,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank CIB,transaction_517039,494.3119583268737,220.19201350990954,2020-09-30
Multilateral development banks,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_691131,1103.505058769525,546.6569893376201,2020-09-30
Banks,Debt securities,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_609933,361.9881631989747,207.54892705098777,2020-09-30
Securities firms,Other investments,>1y,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_265063,318.82713549541893,51.89164084502696,2020-09-30
Corporates,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_899871,581.2415094876852,178.13486869866452,2020-09-30
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_306383,480.6952502501671,105.57160850050697,2020-09-30
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_458902,235.2603632257594,191.45833087988203,2020-09-30
Non-central government public sector entities,Loans,> 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_491437,396.9963896598994,186.98706785605555,2020-09-30
Multilateral development banks,Debt securities,>1y,Asset & Wealth Management,100 default,iBank filial,transaction_379892,165.52065506314904,67.80569484230364,2020-09-30
Banks,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_956895,502.92927740205636,89.79533478761728,2020-09-30
Securities firms,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_432705,122.99931627561261,92.170030369722,2020-09-30
Corporates,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_294368,248.98785795061224,38.335149405952244,2020-09-30
Regulatory retail portfolios,Other investments,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_890722,323.6851474931496,120.54251788756184,2020-09-30
Sovereigns and their central banks,Loans,>1y,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_589062,25.589138364102382,11.359939943985623,2020-09-30
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_089358,152.01267398279646,77.87987999138731,2020-09-30
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_344059,213.99090107445807,75.12348808447541,2020-09-30
Banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_740907,664.8764793625605,178.73383463762028,2020-09-30
Securities firms,Debt securities,> 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_459940,491.1196187038918,195.26860004950834,2020-09-30
Corporates,Other investments,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_578724,302.5230789050235,82.06191464618537,2020-09-30
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_801276,176.2232520307996,59.02110314581569,2020-09-30
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_546015,558.7565556511631,106.46258841548773,2020-09-30
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_415395,103.06892451894393,46.353666400861634,2020-09-30
Multilateral development banks,Loans,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_126701,566.0100542062214,136.04527214499672,2020-09-30
Banks,Debt securities,>1y,Wholesale Banking,10.00 to < 100,iBank filial,transaction_267788,0.18085915384249188,0.060381694793788646,2020-09-30
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank CIB,transaction_675104,803.4972690016832,142.2292974629039,2020-09-30
Corporates,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_080777,935.8916321444813,173.5868180601776,2020-09-30
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_932552,502.0611539305183,122.254664299925,2020-09-30
Sovereigns and their central banks,Other investments,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_816366,336.67271377064696,178.14947922567595,2020-09-30
Non-central government public sector entities,Loans,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_795674,1366.9776751381264,478.23942218023245,2020-09-30
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_936603,1050.8897163634444,292.8520326766677,2020-09-30
Banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_125919,425.50694164898334,239.62762827964613,2020-09-30
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_086347,500.9115875544543,734.994848074827,2020-09-30
Corporates,Debt securities,> 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_244144,624.4205070728201,329.68001457654066,2020-09-30
Regulatory retail portfolios,Other investments,>1y,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_059051,8.62917955296462,1.413968592703357,2020-09-30
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_645661,1272.564818409322,279.65575503158396,2020-09-30
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_278993,361.5469224264946,307.60396799864947,2020-09-30
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_060976,258.16676841496115,45.326350238471285,2020-09-30
Banks,Loans,> 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_780373,763.2576940068853,455.1343633681283,2020-09-30
Securities firms,Debt securities,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_495890,474.19690983373005,212.72429590984865,2020-09-30
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_300337,886.8918040866388,537.5678016832256,2020-09-30
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_213366,15.095513914967524,8.915147716843743,2020-09-30
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_055424,266.97373291202723,92.67358938815042,2020-09-30
Non-central government public sector entities,Other investments,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_718067,547.5337359563277,75.44945166747462,2020-09-30
Multilateral development banks,Loans,>1y,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_301585,723.1269127633258,336.5940851864125,2020-09-30
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_517405,414.05271924100106,148.11423527279365,2020-09-30
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_127084,1395.3682064398522,371.6599831314521,2020-09-30
Corporates,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_731661,615.1051248678294,181.5599972451479,2020-09-30
Regulatory retail portfolios,Debt securities,> 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_379185,650.1263427430993,99.45788138257379,2020-09-30
Sovereigns and their central banks,Other investments,>1y,Asset & Wealth Management,100 default,iBank CIB,transaction_868524,312.4180654929586,68.13991392303485,2020-09-30
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_877013,965.0509978067839,364.0266594883861,2020-09-30
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_348840,1123.4737213922995,250.63166816988928,2020-09-30
Banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_669784,767.8806192518755,260.99781375565715,2020-09-30
Securities firms,Loans,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_208424,507.35423727443487,116.83040058766969,2020-09-30
Corporates,Debt securities,>1y,Personal Banking,0.75 to < 2.50,iBank filial,transaction_188947,636.2511653289843,149.91369097619918,2020-09-30
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_134860,275.0952050242477,219.22508052169823,2020-09-30
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_942632,662.6728030907815,249.14837339899293,2020-09-30
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_560304,450.9967223509413,222.66814115757586,2020-09-30
Multilateral development banks,Other investments,> 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_802909,292.3465845472021,53.23973036781889,2020-09-30
Banks,Loans,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_022943,1224.4353877164244,236.68407517837352,2020-09-30
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_420521,449.58104655166466,99.09462707929102,2020-09-30
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_593277,554.6537949477296,223.33870379828053,2020-09-30
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_223850,192.66309046374852,124.03752074878977,2020-09-30
Sovereigns and their central banks,Debt securities,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_882787,344.75303911795135,113.18224018015106,2020-09-30
Non-central government public sector entities,Other investments,>1y,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_592508,288.58622216266554,90.64877897007895,2020-09-30
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_082750,299.54981729562303,158.44151470779798,2020-09-30
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_070011,578.9957375495483,118.90167297661823,2020-09-30
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_226941,877.8285226515527,214.25818555374414,2020-09-30
Corporates,Loans,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_962589,478.4409420074252,219.79451265108816,2020-09-30
Regulatory retail portfolios,Debt securities,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_499109,511.87963366674114,299.6841486746313,2020-09-30
Sovereigns and their central banks,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_929396,23.021317149849818,8.856817078747847,2020-09-30
Non-central government public sector entities,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_196827,267.48836309329,90.48971595403806,2020-09-30
Multilateral development banks,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_141291,829.9166511427222,151.56179952206122,2020-09-30
Banks,Other investments,> 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_666730,51.62365355509258,44.46906207776074,2020-09-30
Securities firms,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_375443,139.33701484927033,132.14325869289007,2020-09-30
Corporates,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_165862,304.78065089129933,89.02874959793783,2020-09-30
Regulatory retail portfolios,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_619535,705.0731699810476,160.1773737566099,2020-09-30
Sovereigns and their central banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_622501,428.3452168545047,91.56975461681415,2020-09-30
Non-central government public sector entities,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_317655,1414.0227017019163,554.4693869790449,2020-09-30
Multilateral development banks,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_646348,565.1548420983966,160.27372388994712,2020-09-30
Banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_979380,1027.6845232344624,406.30433099822295,2020-09-30
Securities firms,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_051163,902.1049410728597,215.84680864476536,2020-09-30
Corporates,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_729220,203.34550331606792,85.53358831711947,2020-09-30
Regulatory retail portfolios,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_453332,170.99004376574624,190.01301102595096,2020-09-30
Sovereigns and their central banks,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_575367,641.6271334312584,211.45497921018008,2020-09-30
Non-central government public sector entities,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_509619,505.850677740714,50.03397145343527,2020-09-30
Multilateral development banks,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_245359,436.5102830506988,161.20010827104565,2020-09-30
Banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_017404,171.6008026443056,214.70707393815417,2020-09-30
Securities firms,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_030735,741.1083819162644,351.67548901227184,2020-09-30
Corporates,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_170974,211.20337369806788,84.6573856377048,2020-09-30
Regulatory retail portfolios,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_763389,1467.2387421070532,349.93060738929677,2020-09-30
Sovereigns and their central banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_585216,1008.0856189891239,651.4681477352125,2020-09-30
Non-central government public sector entities,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_455703,636.5223413751133,282.7320504263833,2020-09-30
Multilateral development banks,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_589477,791.2865951144579,410.75681306099466,2020-09-30
Banks,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_993147,481.9544083838515,319.30263877679886,2020-09-30
Securities firms,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_808347,904.7611681272991,212.20375642352184,2020-09-30
Corporates,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_041083,415.86739879145875,233.1753985532552,2020-09-30
Regulatory retail portfolios,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_826636,987.1296601753041,149.04620640423025,2020-09-30
Sovereigns and their central banks,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_110619,562.1740837690515,113.39080669720077,2020-09-30
Non-central government public sector entities,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_130801,540.9844499627412,262.02523218819476,2020-09-30
Multilateral development banks,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_169920,38.68678919514088,26.922968196179642,2020-09-30
Banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_529086,217.18099747584668,153.34172598884066,2020-09-30
Securities firms,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_813109,245.68978464532566,104.85505718489463,2020-09-30
Corporates,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_644784,39.46803364849905,10.75811276153409,2020-09-30
Regulatory retail portfolios,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_056514,1005.1562092926221,104.91156903989103,2020-09-30
Sovereigns and their central banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_385056,523.3039445617836,158.21843879999807,2020-09-30
Non-central government public sector entities,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_302158,674.3282771959771,167.4916778456374,2020-09-30
Multilateral development banks,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_001167,345.61827073772014,120.49057225892803,2020-09-30
Banks,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_874806,420.30449252256017,301.8660994394792,2020-09-30
Securities firms,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_472056,427.1575548950074,312.6741671863921,2020-09-30
Corporates,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_952947,30.956702822031783,3.0949266876321007,2020-09-30
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_223508,153.16252994479373,30.970351378385537,2020-09-30
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_127584,196.6702525875798,89.3782975175109,2020-09-30
Non-central government public sector entities,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_058890,813.3035387826739,369.61965549822924,2020-09-30
Multilateral development banks,Debt securities,>1y,Personal Banking,0.00 to < 0.15,iBank filial,transaction_389937,287.34004796183484,58.764392106157146,2020-09-30
